Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Full_address,Coords,LAT,LNG
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ZUCA SUCOSERVICIOS,PUMA,Autopista 7 VIA A GAIRA,GASOLINA CORRIENTE OXIGENADA,8950.0,A,"Autopista 7 VIA A GAIRA, Santa marta, Colombia","(11.196386, -74.218361)",11.196386,-74.218361
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ZUCA SUCOSERVICIOS,PUMA,Autopista 7 VIA A GAIRA,BIODIESEL EXTRA,8550.0,A,"Autopista 7 VIA A GAIRA, Santa marta, Colombia","(11.196386, -74.218361)",11.196386,-74.218361
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO TERPEL GASXY TAYRONA,TERPEL,CARRERA 14 No. 27 ESQUINA,GASOLINA EXTRA OXIGENADA,17520.0,A,"CARRERA 14 No. 27 ESQUINA, Santa marta, Colombia","(11.2403547, -74.2110227)",11.2403547,-74.2110227
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO TERPEL GASXY TAYRONA,TERPEL,CARRERA 14 No. 27 ESQUINA,GASOLINA CORRIENTE OXIGENADA,8780.0,A,"CARRERA 14 No. 27 ESQUINA, Santa marta, Colombia","(11.2403547, -74.2110227)",11.2403547,-74.2110227
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO TERPEL GASXY TAYRONA,TERPEL,CARRERA 14 No. 27 ESQUINA,BIODIESEL EXTRA,8680.0,A,"CARRERA 14 No. 27 ESQUINA, Santa marta, Colombia","(11.2403547, -74.2110227)",11.2403547,-74.2110227
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO TERPEL DEL RIO,TERPEL,Avenida del Rio No.29-85,GASOLINA EXTRA OXIGENADA,18480.0,A,"Avenida del Rio No.29-85, Santa marta, Colombia","(11.2403547, -74.2110227)",11.2403547,-74.2110227
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO TERPEL DEL RIO,TERPEL,Avenida del Rio No.29-85,GASOLINA CORRIENTE OXIGENADA,8990.0,A,"Avenida del Rio No.29-85, Santa marta, Colombia","(11.2403547, -74.2110227)",11.2403547,-74.2110227
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO TERPEL DEL RIO,TERPEL,Avenida del Rio No.29-85,BIODIESEL EXTRA,8970.0,A,"Avenida del Rio No.29-85, Santa marta, Colombia","(11.2403547, -74.2110227)",11.2403547,-74.2110227
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACIÃN DE SERVICIOS COOTRANSMAG-CARIBE,SAVE,TRONCAL DEL CARIBE FRENTE A URBANIZACION EL PARQUE,BIODIESEL EXTRA,8890.0,A,"TRONCAL DEL CARIBE FRENTE A URBANIZACION EL PARQUE, Santa marta, Colombia","(11.2228784, -74.1705302)",11.2228784,-74.1705302
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACIÃN DE SERVICIOS COOTRANSMAG-CARIBE,SAVE,TRONCAL DEL CARIBE FRENTE A URBANIZACION EL PARQUE,GASOLINA CORRIENTE OXIGENADA,8990.0,A,"TRONCAL DEL CARIBE FRENTE A URBANIZACION EL PARQUE, Santa marta, Colombia","(11.2228784, -74.1705302)",11.2228784,-74.1705302
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACIÃN DE SERVICIOS COOTRANSMAG-CARIBE,SAVE,TRONCAL DEL CARIBE FRENTE A URBANIZACION EL PARQUE,GASOLINA EXTRA OXIGENADA,17300.0,A,"TRONCAL DEL CARIBE FRENTE A URBANIZACION EL PARQUE, Santa marta, Colombia","(11.2228784, -74.1705302)",11.2228784,-74.1705302
2022,6,47,MAGDALENA,47001,SANTA MARTA,TEAM ALLIANCE LTDA,TERPEL,CALLE 30 No. 57A-80 TRONCAL DEL CARIBE,BIODIESEL EXTRA,8964.0,A,"CALLE 30 No. 57A-80 TRONCAL DEL CARIBE, Santa marta, Colombia","(11.2236892, -74.1643422)",11.2236892,-74.1643422
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO EL MANANTIAL,BIOMAX,KILOMETRO 13 VIA AL AEROPUERTO SECTOR POZO COLORADO,GASOLINA EXTRA OXIGENADA,14000.0,A,"KILOMETRO 13 VIA AL AEROPUERTO SECTOR POZO COLORADO, Santa marta, Colombia","(11.16597, -74.23044)",11.16597,-74.23044
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO EL MANANTIAL,BIOMAX,KILOMETRO 13 VIA AL AEROPUERTO SECTOR POZO COLORADO,GASOLINA CORRIENTE OXIGENADA,9110.0,A,"KILOMETRO 13 VIA AL AEROPUERTO SECTOR POZO COLORADO, Santa marta, Colombia","(11.16597, -74.23044)",11.16597,-74.23044
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO EL MANANTIAL,BIOMAX,KILOMETRO 13 VIA AL AEROPUERTO SECTOR POZO COLORADO,BIODIESEL EXTRA,8990.0,A,"KILOMETRO 13 VIA AL AEROPUERTO SECTOR POZO COLORADO, Santa marta, Colombia","(11.16597, -74.23044)",11.16597,-74.23044
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ARCAS RODADERO,TERPEL,RODADERO SUR ENTRADA A PLAYA SALGUERO,GASOLINA CORRIENTE OXIGENADA,9300.0,A,"RODADERO SUR ENTRADA A PLAYA SALGUERO, Santa marta, Colombia","(11.1894575, -74.2328241)",11.1894575,-74.2328241
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ARCAS RODADERO,TERPEL,RODADERO SUR ENTRADA A PLAYA SALGUERO,BIODIESEL EXTRA,9230.0,A,"RODADERO SUR ENTRADA A PLAYA SALGUERO, Santa marta, Colombia","(11.1894575, -74.2328241)",11.1894575,-74.2328241
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ARCAS RODADERO,TERPEL,RODADERO SUR ENTRADA A PLAYA SALGUERO,GASOLINA EXTRA OXIGENADA,18560.0,A,"RODADERO SUR ENTRADA A PLAYA SALGUERO, Santa marta, Colombia","(11.1894575, -74.2328241)",11.1894575,-74.2328241
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS Y CENTRO DE NEGOCIOS PORTAL DEL CARIBE,BIOMAX,Kilometro 4 VIA ALTERNA VEREDA PUENTE LIMON,GASOLINA CORRIENTE OXIGENADA,9122.0,A,"Kilometro 4 VIA ALTERNA VEREDA PUENTE LIMON, Santa marta, Colombia","(11.2073184, -74.17467649999999)",11.2073184,-74.17467649999999
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS Y CENTRO DE NEGOCIOS PORTAL DEL CARIBE,BIOMAX,Kilometro 4 VIA ALTERNA VEREDA PUENTE LIMON,BIODIESEL EXTRA,8963.0,A,"Kilometro 4 VIA ALTERNA VEREDA PUENTE LIMON, Santa marta, Colombia","(11.2073184, -74.17467649999999)",11.2073184,-74.17467649999999
2022,6,47,MAGDALENA,47001,SANTA MARTA,CENTRO COMERCIAL Y ESTACION DE SERVICIOS BASTIDAS,PETROMIL,CALLE 14 No. 27-195,GASOLINA EXTRA OXIGENADA,18000.0,A,"CALLE 14 No. 27-195, Santa marta, Colombia","(11.2408487, -74.1817258)",11.2408487,-74.1817258
2022,6,47,MAGDALENA,47001,SANTA MARTA,CENTRO COMERCIAL Y ESTACION DE SERVICIOS BASTIDAS,PETROMIL,CALLE 14 No. 27-195,GASOLINA CORRIENTE OXIGENADA,9010.0,A,"CALLE 14 No. 27-195, Santa marta, Colombia","(11.2408487, -74.1817258)",11.2408487,-74.1817258
